ema_alpha,prob_thresh,tp,fp,fn,precision,recall,f1,fpr_per_1k,total_windows,true_events
0.15,0.1,267,117,5,0.695312,0.981618,0.814024,11.696491,10003,272
0.15,0.15,267,102,5,0.723577,0.981618,0.833073,10.196941,10003,272
0.15,0.2,267,84,5,0.760684,0.981618,0.857143,8.397481,10003,272
0.15,0.25,266,72,6,0.786982,0.977941,0.872131,7.197841,10003,272
0.15,0.3,264,63,8,0.807339,0.970588,0.881469,6.298111,10003,272
0.15,0.35,263,62,9,0.809231,0.966912,0.881072,6.198141,10003,272
0.15,0.4,262,61,10,0.811146,0.963235,0.880672,6.098171,10003,272
0.15,0.45,262,57,10,0.821317,0.963235,0.886633,5.698291,10003,272
0.15,0.5,260,54,12,0.828025,0.955882,0.887372,5.39838,10003,272
0.15,0.55,258,50,14,0.837662,0.948529,0.889655,4.9985,10003,272
0.15,0.6,256,44,16,0.853333,0.941176,0.895105,4.39868,10003,272
0.15,0.65,253,44,19,0.851852,0.930147,0.889279,4.39868,10003,272
0.15,0.7,251,43,21,0.853741,0.922794,0.886926,4.29871,10003,272
0.15,0.75,250,40,22,0.862069,0.919118,0.88968,3.9988,10003,272
0.2,0.1,267,120,5,0.689922,0.981618,0.810319,11.996401,10003,272
0.2,0.15,267,103,5,0.721622,0.981618,0.831776,10.296911,10003,272
0.2,0.2,267,89,5,0.75,0.981618,0.850318,8.897331,10003,272
0.2,0.25,266,83,6,0.762178,0.977941,0.856683,8.297511,10003,272
0.2,0.3,264,71,8,0.78806,0.970588,0.869852,7.097871,10003,272
0.2,0.35,264,65,8,0.802432,0.970588,0.878536,6.498051,10003,272
0.2,0.4,263,67,9,0.79697,0.966912,0.873754,6.697991,10003,272
0.2,0.45,262,66,10,0.79878,0.963235,0.873333,6.598021,10003,272
0.2,0.5,260,60,12,0.8125,0.955882,0.878378,5.998201,10003,272
0.2,0.55,259,54,13,0.827476,0.952206,0.88547,5.39838,10003,272
0.2,0.6,258,51,14,0.834951,0.948529,0.888124,5.09847,10003,272
0.2,0.65,255,51,17,0.833333,0.9375,0.882353,5.09847,10003,272
0.2,0.7,251,45,21,0.847973,0.922794,0.883803,4.49865,10003,272
0.2,0.75,250,49,22,0.83612,0.919118,0.875657,4.89853,10003,272
0.3,0.1,267,137,5,0.660891,0.981618,0.789941,13.695891,10003,272
0.3,0.15,267,116,5,0.697128,0.981618,0.815267,11.596521,10003,272
0.3,0.2,267,104,5,0.719677,0.981618,0.830482,10.396881,10003,272
0.3,0.25,266,97,6,0.732782,0.977941,0.837795,9.697091,10003,272
0.3,0.3,264,83,8,0.760807,0.970588,0.852989,8.297511,10003,272
0.3,0.35,264,79,8,0.769679,0.970588,0.858537,7.897631,10003,272
0.3,0.4,263,75,9,0.778107,0.966912,0.862295,7.497751,10003,272
0.3,0.45,263,78,9,0.771261,0.966912,0.858075,7.797661,10003,272
0.3,0.5,261,71,11,0.786145,0.959559,0.864238,7.097871,10003,272
0.3,0.55,259,65,13,0.799383,0.952206,0.869128,6.498051,10003,272
0.3,0.6,259,62,13,0.806854,0.952206,0.873524,6.198141,10003,272
0.3,0.65,256,57,16,0.817891,0.941176,0.875214,5.698291,10003,272
0.3,0.7,253,53,19,0.826797,0.930147,0.875433,5.29841,10003,272
0.3,0.75,251,56,21,0.81759,0.922794,0.867012,5.598321,10003,272
0.4,0.1,267,144,5,0.649635,0.981618,0.781845,14.395681,10003,272
0.4,0.15,267,130,5,0.672544,0.981618,0.798206,12.996101,10003,272
0.4,0.2,267,110,5,0.708223,0.981618,0.822804,10.996701,10003,272
0.4,0.25,266,104,6,0.718919,0.977941,0.82866,10.396881,10003,272
0.4,0.3,264,102,8,0.721311,0.970588,0.827586,10.196941,10003,272
0.4,0.35,264,91,8,0.743662,0.970588,0.842105,9.097271,10003,272
0.4,0.4,263,88,9,0.749288,0.966912,0.844302,8.797361,10003,272
0.4,0.45,263,86,9,0.753582,0.966912,0.847021,8.597421,10003,272
0.4,0.5,261,75,11,0.776786,0.959559,0.858553,7.497751,10003,272
0.4,0.55,261,72,11,0.783784,0.959559,0.86281,7.197841,10003,272
0.4,0.6,260,65,12,0.8,0.955882,0.871022,6.498051,10003,272
0.4,0.65,257,64,15,0.800623,0.944853,0.866779,6.398081,10003,272
0.4,0.7,254,66,18,0.79375,0.933824,0.858108,6.598021,10003,272
0.4,0.75,252,63,20,0.8,0.926471,0.858603,6.298111,10003,272
0.5,0.1,267,151,5,0.638756,0.981618,0.773913,15.095471,10003,272
0.5,0.15,267,139,5,0.657635,0.981618,0.787611,13.895831,10003,272
0.5,0.2,267,122,5,0.686375,0.981618,0.807867,12.196341,10003,272
0.5,0.25,266,115,6,0.698163,0.977941,0.814701,11.496551,10003,272
0.5,0.3,264,110,8,0.705882,0.970588,0.817337,10.996701,10003,272
0.5,0.35,264,102,8,0.721311,0.970588,0.827586,10.196941,10003,272
0.5,0.4,263,99,9,0.726519,0.966912,0.829653,9.897031,10003,272
0.5,0.45,263,93,9,0.738764,0.966912,0.83758,9.297211,10003,272
0.5,0.5,261,85,11,0.754335,0.959559,0.84466,8.497451,10003,272
0.5,0.55,261,78,11,0.769912,0.959559,0.854337,7.797661,10003,272
0.5,0.6,260,73,12,0.780781,0.955882,0.859504,7.297811,10003,272
0.5,0.65,258,72,14,0.781818,0.948529,0.857143,7.197841,10003,272
0.5,0.7,254,68,18,0.78882,0.933824,0.855219,6.797961,10003,272
0.5,0.75,253,70,19,0.783282,0.930147,0.85042,6.997901,10003,272
